name,product_id,price,brand,age,images,color,shoes sizes
Women's Puma Skye Whisper Beige/Pink Shoe,130609ABGP1," R 1,199.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040979.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040979_01.jpg']]",Beige,"['3', '4', '5', '6', '7', '8']"
Women's Superga Classics Canvas Rose Mahogany Shoe,130609AADG5, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/56630408.jpg'], []]",Rose,"['4', '5', '5-', '6', '7', '8']"
Women's Nike Court Royale 2 Mauve/Pink Shoe,130609AAYE4, R 729.95,Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57574054.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57574054_01.jpg']]",Pink/White,"['4', '5', '6', '7', '8']"
Women's Puma Carina Mid White Shoe,130609ABFC2," R 1,199.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58973287.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58973287_01.jpg']]",White,"['4', '5', '6', '7', '8']"
Women's Vans Doheny Animal/White Shoe,130609ABCJ5, R 499.95,Vans,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57671942.jpg'], []]",Prints,"['4', '5', '6', '7', '8']"
Women's adidas Retrorun Animal Print/Black Shoe,130609ABBL2," R 1,199.95",Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636514.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636514_01.jpg']]",Prints,"['4', '5', '6', '7', '8']"
Women's Superga Classics Canvas Pink/white Shoe,130609AAJS0, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57167076.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57167076_01.jpg']]",Pink/White,"['4', '5', '5-', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Low Black/Rose Gold Shoe,130609AAUX3, R 929.95,Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57491194.jpg'], []]",Black/Gold,"['4', '5', '6', '7']"
Women's Reebok Royale Complete Clean 2.0 White Shoe,130609ABIU7, R 699.95,Reebok,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59163188.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59163188_01.jpg']]",White,"['4', '5', '6', '7', '8', '9']"
Women's New Balance 237 Beige/Silver Shoe,130609ABIV8," R 1,299.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168301.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168301_01.jpg']]",Beige,"['4', '5', '6', '7', '8', '9']"
Women's Nike Court Legacy Black/White Shoe,130609ABES3," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58952182.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58952182_01.jpg']]",Black/White,"['4.5', '5.5', '6', '6.5', '7']"
Women's Puma X-Ray Pink/Black Shoe,130609ABBJ5," R 1,299.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635744.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635744_01.jpg']]",Pink/Black,"['4', '5', '6', '7', '8']"
Women's Nike Court Vision White/White Shoe,130609AAZL5," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57600097.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57600097_01.jpg']]",White,"['6.5', '7', '7.5', '8.5']"
